DRINK,MOUSE,CAGE,Strain,Gen,Family,DOB,DOB,Sex,#,Litter,Notes,USE,12/12/2019,COAT,SQUAD,TX,Weight,D1T0,D1T120,D2TimeZero,D2T0,D2TimeTwo,D2T120,D2TimeFour,D2T240,D1ml,D2ml_02,D2ml_24,D2ml_all,D1gkg,D2gkg_02,D2gkg_24,D2gkg_all,BEC,Footslips,BeamBreaks,AtaxiaRatio,D1mlkg,D2mlkg_02,D2mlkg_24,D2mlkg_all
83,13.2,13,HDID-1,S43.G47,505,19250,9/7/2019,M,3,2,,Parallel Rod,96,aa,21,EtOH,25.6,3.8,4.35,1010,3.5,1210,3.75,1410,4.2,0.55,0.25,0.45,0.7,3.391523438,1.541601563,2.774882813,4.316484375,1.52465,48,459,0.104575163,21.484375,9.765625,17.578125,27.34375
84,30.1,30,HS/Npt,G97.V29,1505,19214,8/2/2019,F,4,2,,Parallel Rod,132,ddaa,21,EtOH,24.3,3.3,3.45,1010,3.7,1210,3.7,1410,3.8,0.15,0,0.1,0.1,0.974444444,0,0.64962963,0.64962963,3.36E-01,45,440,0.102272727,6.172839506,0,4.115226337,4.115226337
85,35.3,35,HS/Npt,G97.V29,1532,19215,8/3/2019,M,3 (4),2,,Parallel Rod,131,aa,22,Water,29.6,3.4,4,1020,3.6,1220,4.4,1420,5.4,0.6,0.8,1,1.8,3.199864865,4.266486486,5.333108108,9.599594595,,32,408,0.078431373,20.27027027,27.02702703,33.78378378,60.81081081
86,3.1,3,HDID-1,S43.G47,501,19247,9/4/2019,F,2,2,,Parallel Rod,99,bb,22,EtOH,20.8,3.4,3.5,1020,3.5,1220,4.1,1420,4.5,0.1,0.6,0.4,1,0.758942308,4.553653846,3.035769231,7.589423077,2.40613,79,492,0.160569106,4.807692308,28.84615385,19.23076923,48.07692308
87,2.5,2,HDID-1,S43.G47,518x,19246,9/3/2019,F,5,2,,Parallel Rod,100,bb,22,Water,21.5,3.4,3.7,1020,3.4,1220,3.65,1420,4.25,0.3,0.25,0.6,0.85,2.202697674,1.835581395,4.405395349,6.240976744,,14,443,0.031602709,13.95348837,11.62790698,27.90697674,39.53488372
88,20.5,20,HDID-2,S38,521,19252,9/9/2019,F,5,4,,Parallel Rod,94,aa,22,EtOH,22.2,3.65,4.05,1020,3.85,1220,4.3,1420,4.8,0.4,0.45,0.5,0.95,2.844324324,3.199864865,3.555405405,6.75527027,2.19408,118,390,0.302564103,18.01801802,20.27027027,22.52252252,42.79279279
89,28.4,28,HS/Npt,G97.V29,1501,19217,8/5/2019,F,5,2,,Parallel Rod,129,aa,23,Water,26.3,3.4,4.1,1030,3.2,1230,4.2,1430,5.3,0.7,1,1.1,2.1,4.201596958,6.002281369,6.602509506,12.60479087,,48,399,0.120300752,26.61596958,38.02281369,41.82509506,79.84790875
90,9.3,9,HDID-1,S43.G46,507,19245,9/2/2019,M,3,3,,Parallel Rod,101,aa,23,EtOH,26.5,3.8,4.4,1030,3.2,1230,3.3,1430,3.95,0.6,0.1,0.65,0.75,3.574188679,0.595698113,3.872037736,4.467735849,3.05902,135,505,0.267326733,22.64150943,3.773584906,24.52830189,28.30188679
91,10.2,10,HDID-1,S43.G46,514,19245,9/2/2019,M,4,5,,Parallel Rod,101,aa,23,Water,24.5,3.7,4.7,1030,3.55,1230,4.35,1430,5,1,0.8,0.65,1.45,6.443265306,5.154612245,4.188122449,9.342734694,,119,458,0.259825328,40.81632653,32.65306122,26.53061224,59.18367347
92,17.4,17,HDID-2,S38,527,19250,9/7/2019,F,5,3,,Parallel Rod,96,aa,23,EtOH,23.4,3.45,3.9,1030,3.6,1230,3.9,1430,4.6,0.45,0.3,0.7,1,3.035769231,2.023846154,4.722307692,6.746153846,2.12547,86,446,0.192825112,19.23076923,12.82051282,29.91452991,42.73504274
93,14.1,14,HDID-1,S43.G47,508,19250,9/7/2019,M,2,2,,Parallel Rod,96,cc,24,Water,24.4,3.6,4.6,1040,3.65,1240,3.8,1440,3.85,1,0.15,0.05,0.2,6.469672131,0.97045082,0.323483607,1.293934426,,41,472,0.086864407,40.98360656,6.147540984,2.049180328,8.196721311
94,12.1,12,HDID-1,S43.G47,501,19247,9/4/2019,M,4,2,,Parallel Rod,99,bb,24,EtOH,24.1,3.6,4,1040,3.45,1240,4.2,1440,4.4,0.4,0.75,0.2,0.95,2.620082988,4.912655602,1.310041494,6.222697095,1.31204,60,433,0.138568129,16.59751037,31.12033195,8.298755187,39.41908714
95,31.3,31,HS/Npt,G97.V29,1514,19215,8/3/2019,F,3,2,,Parallel Rod,131,aa,24,EtOH,27.2,3.5,3.7,1040,3.6,1240,3.9,1440,4.5,0.2,0.3,0.6,0.9,1.160735294,1.741102941,3.482205882,5.223308824,2.25E-01,57,507,0.112426036,7.352941176,11.02941176,22.05882353,33.08823529
96,2.2,2,HDID-1,S43.G47,518x,19246,9/3/2019,F,5,2,,Parallel Rod,100,bb,24,Water,20.1,3.2,3.65,1040,3.5,1240,4,1440,4.35,0.45,0.5,0.35,0.85,3.534179104,3.926865672,2.74880597,6.675671642,,46,438,0.105022831,22.3880597,24.87562189,17.41293532,42.28855721
97,19.1,19,HDID-2,S37,523,19252,9/9/2019,F,3,5,,Parallel Rod,94,aa,25,EtOH,20.7,3.2,3.95,1050,3.8,1250,4.25,1450,4.85,0.75,0.45,0.6,1.05,5.719565217,3.43173913,4.575652174,8.007391304,2.33561,155,458,0.338427948,36.23188406,21.73913043,28.98550725,50.72463768
98,24.3,24,HDID-2,S38,529,19251,9/8/2019,M,4,3,,Parallel Rod,95,aa,25,Water,23.6,3.4,4.1,1050,3.4,1250,4.05,1450,4.95,0.7,0.65,0.9,1.55,4.682288136,4.347838983,6.020084746,10.36792373,,104,452,0.230088496,29.66101695,27.54237288,38.13559322,65.6779661
99,37.2,37,HS/Npt,G97.V29,1522,19230,8/18/2019,M,3,2,,Parallel Rod,116,aa,25,Water,28.6,3.6,4.5,1050,3.5,1250,4.4,1450,5.4,0.9,0.9,1,1.9,4.967622378,4.967622378,5.51958042,10.4872028,,31,459,0.067538126,31.46853147,31.46853147,34.96503497,66.43356643
100,16.2,16,HDID-1,S43.G46,502,19247,9/4/2019,M,2,5,,Parallel Rod,99,bb,25,EtOH,24.6,3.7,4.15,1050,3.7,1250,4.25,1450,4.65,0.45,0.55,0.4,0.95,2.887682927,3.529390244,2.566829268,6.096219512,1.76952,140,490,0.285714286,18.29268293,22.35772358,16.2601626,38.61788618
101,34.2,34,HS/Npt,G97.V29,1542,19216,8/4/2019,M,3,2,,Parallel Rod,130,bb,26,EtOH,30.7,3.5,3.65,1010,3.85,1210,3.85,1410,4.15,0.15,0,0.3,0.3,0.771302932,0,1.542605863,1.542605863,1.48E-01,33,444,0.074324324,4.885993485,0,9.771986971,9.771986971
102,23.4,23,HDID-2,S38,527,19250,9/7/2019,M,4,3,,Parallel Rod,96,aa,26,Water,26.8,3.25,4.5,1010,3.5,1210,4.25,1410,5.85,1.25,0.75,1.6,2.35,7.362873134,4.417723881,9.424477612,13.84220149,,64,485,0.131958763,46.64179104,27.98507463,59.70149254,87.68656716
103,10.3,10,HDID-1,S43.G46,514,19245,9/2/2019,M,4,5,,Parallel Rod,101,aa,26,EtOH,25.3,3.35,3.45,1010,3.9,1210,3.9,1410,4.9,0.1,0,1,1,0.623952569,0,6.239525692,6.239525692,2.93875,169,489,0.345603272,3.95256917,0,39.5256917,39.5256917
104,10.1,10,HDID-1,S43.G46,514,19245,9/2/2019,M,4,5,,Parallel Rod,101,aa,26,Water,25.4,3.4,3.5,1010,3.7,1210,4.6,1410,5.8,0.1,0.9,1.2,2.1,0.621496063,5.593464567,7.457952756,13.05141732,,54,439,0.123006834,3.937007874,35.43307087,47.24409449,82.67716535
105,7.1,7,HDID-1,S43.G46,501,19251,9/8/2019,F,4,6,,Parallel Rod,95,aa,27,EtOH,19.8,3.6,3.85,1020,3.7,1220,4.2,1420,4.25,0.25,0.5,0.05,0.55,1.993181818,3.986363636,0.398636364,4.385,5.42E-01,11,462,0.023809524,12.62626263,25.25252525,2.525252525,27.77777778
106,7.2,7,HDID-1,S43.G46,501,19251,9/8/2019,F,4,6,,Parallel Rod,95,aa,27,Water,19,3.4,3.6,1020,3.2,1220,3.4,1420,3.8,0.2,0.2,0.4,0.6,1.661684211,1.661684211,3.323368421,4.985052632,,13,441,0.029478458,10.52631579,10.52631579,21.05263158,31.57894737
107,35.2,35,HS/Npt,G97.V29,1532,19215,8/3/2019,M,3 (4),2,,Parallel Rod,131,aa,27,EtOH,30.3,3.35,3.5,1020,3.4,1220,3.4,1420,3.7,0.15,0,0.3,0.3,0.781485149,0,1.562970297,1.562970297,5.81E-01,54,490,0.110204082,4.95049505,0,9.900990099,9.900990099
108,7.4,7,HDID-1,S43.G46,501,19251,9/8/2019,F,4,6,,Parallel Rod,95,aa,27,Water,17.4,3.5,4.35,1020,4.15,1220,4.7,1420,5.45,0.85,0.55,0.75,1.3,7.711551724,4.989827586,6.804310345,11.79413793,,19,418,0.045454545,48.85057471,31.6091954,43.10344828,74.71264368
109,26.1,26,HDID-2,S38,531,19252,9/9/2019,M,3,4,,Parallel Rod,94,aa,28,EtOH,22.7,3.3,3.8,1030,3.7,1230,3.95,1430,4.8,0.5,0.25,0.85,1.1,3.477092511,1.738546256,5.911057269,7.649603524,2.14138,117,500,0.234,22.02643172,11.01321586,37.44493392,48.45814978
110,30.2,30,HS/Npt,G97.V29,1505,19214,8/2/2019,F,4,2,,Parallel Rod,132,ddaa,28,Water,22.1,3.3,4.05,1030,3.2,1230,4.3,1430,5.1,0.75,1.1,0.8,1.9,5.357239819,7.857285068,5.71438914,13.57167421,,11,469,0.023454158,33.93665158,49.77375566,36.19909502,85.97285068
111,29.5,29,HS/Npt,G97.V29,1502,19217,8/5/2019,F,5,2,,Parallel Rod,129,aa,28,EtOH,25.4,3.6,3.85,1030,3.3,1230,3.7,1430,4.1,0.25,0.4,0.4,0.8,1.553740157,2.485984252,2.485984252,4.971968504,4.50E-01,24,456,0.052631579,9.842519685,15.7480315,15.7480315,31.49606299
112,36.1,36,HS/Npt,G97.V29,1523,19215,8/3/2019,M,3,2,,Parallel Rod,131,aa,28,Water,28.4,3.3,4,1030,3.35,1230,4.25,1430,5.2,0.7,0.9,0.95,1.85,3.890915493,5.002605634,5.280528169,10.2831338,,145,476,0.304621849,24.64788732,31.69014085,33.45070423,65.14084507
113,37.3,37,HS/Npt,G97.V29,1522,19230,8/18/2019,M,3,2,,Parallel Rod,116,aa,29,EtOH,28.7,3.5,4.7,1040,3.4,1240,3.7,1440,4.15,1.2,0.3,0.45,0.75,6.600418118,1.65010453,2.475156794,4.125261324,2.82E-01,119,456,0.260964912,41.81184669,10.45296167,15.67944251,26.13240418
114,32.3,32,HS/Npt,G97.V29,1530,19218,8/6/2019,F,2,2,,Parallel Rod,128,cc,29,Water,31.6,3.5,4.1,1040,3.2,1240,4.2,1440,5.1,0.6,1,0.9,1.9,2.997341772,4.99556962,4.496012658,9.491582278,,70,451,0.155210643,18.98734177,31.64556962,28.48101266,60.12658228
115,18.4,18,HDID-2,S38,529,19251,9/8/2019,F,5,3,,Parallel Rod,95,aa,29,Water,19.4,3.1,4.2,1040,3.7,1240,5,1440,6,1.1,1.3,1,2.3,8.950824742,10.57824742,8.137113402,18.71536082,,46,464,0.099137931,56.70103093,67.01030928,51.54639175,118.556701
116,33.1,33,HS/Npt,G97.V29,1550,19213,8/1/2019,M,4,2,,Parallel Rod,133,bb,29,EtOH,36.8,3.8,4.3,1040,3.3,1240,4.1,1440,4.5,0.5,0.8,0.4,1.2,2.144836957,3.43173913,1.715869565,5.147608696,4.05E-01,187,371,0.504043127,13.58695652,21.73913043,10.86956522,32.60869565
117,18.3,18,HDID-2,S38,529,19251,9/8/2019,F,5,3,,Parallel Rod,95,aa,30,EtOH,21.3,3.4,4.1,1050,3.5,1250,4.1,1450,4.75,0.7,0.6,0.65,1.25,5.187887324,4.446760563,4.817323944,9.264084507,2.46306,88,442,0.199095023,32.86384977,28.16901408,30.51643192,58.68544601
118,16.1,16,HDID-1,S43.G46,502,19247,9/4/2019,M,2,5,,Parallel Rod,99,bb,30,Water,22.1,3.35,4.3,1050,3.5,1250,4.1,1450,4.1,0.95,0.6,0,0.6,6.785837104,4.285791855,0,4.285791855,,63,466,0.135193133,42.98642534,27.14932127,0,27.14932127
119,4.4,4,HDID-1,S43.G47,505,19250,9/7/2019,F,4,2,,Parallel Rod,96,aa,30,EtOH,21.7,3.85,4.35,1050,3.6,1250,4,1450,4.4,0.5,0.4,0.4,0.8,3.637327189,2.909861751,2.909861751,5.819723502,1.83556,51,417,0.122302158,23.04147465,18.43317972,18.43317972,36.86635945
120,3.2,3,HDID-1,S43.G47,501,19247,9/4/2019,F,2,2,,Parallel Rod,99,aa,30,Water,19.9,3.2,3.7,1050,3.45,1250,3.7,1450,3.7,0.5,0.25,0,0.25,3.966331658,1.983165829,0,1.983165829,,37,383,0.096605744,25.12562814,12.56281407,0,12.56281407
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
